column,role,description
governance_context_role,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
governance_context_score_0_100,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
wgi_cc_score,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
wgi_ge_score,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
wgi_pv_score,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
wgi_rl_score,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
wgi_rq_score,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
wgi_six_dimension_available_count,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
wgi_six_dimension_mean_score,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
wgi_va_score,context_or_sensitivity,WGI governance context/sensitivity field. Not part of final POSet ordering.
gdp_growth_stability_score_0_100,diagnostic_or_sensitivity_only,Pre-shock GDP volatility/stability feature. Not final ordering.
gdp_growth_volatility_sd,diagnostic_or_sensitivity_only,Pre-shock GDP volatility/stability feature. Not final ordering.
energy_import_dependency_raw,final_ordering_raw_input,Raw input for Energy security. Lower net energy import dependency is interpreted as greater energy security. Negative raw values can occur for net exporters and are not clipped.
public_debt_gdp_canonical,final_ordering_raw_input,Raw input for Debt capacity. Lower public debt/GDP is interpreted as greater debt capacity.
rd_gdp,final_ordering_raw_input,Raw input for R&D intensity. Higher R&D expenditure as a percentage of GDP is interpreted as stronger innovation capacity.
tertiary_education_25_64,final_ordering_raw_input,"Raw input for Human capital. Higher adult tertiary educational attainment, age 25–64, is interpreted as stronger human-capital stock."
unemployment_rate,final_ordering_raw_input,Raw input for Employment strength. Lower unemployment is interpreted as greater labour-market strength.
debt_capacity_score_0_100,final_ordering_score,Direction-aligned 0–100 final ordering score.
employment_strength_score_0_100,final_ordering_score,Direction-aligned 0–100 final ordering score.
energy_security_score_0_100,final_ordering_score,Direction-aligned 0–100 final ordering score.
human_capital_tertiary_score_0_100,final_ordering_score,Direction-aligned 0–100 final ordering score.
rd_intensity_score_0_100,final_ordering_score,Direction-aligned 0–100 final ordering score.
Country,identifier,ISO3-style country code.
baseline_year,shock_snapshot_identifier,Identifies the shock-specific baseline cross-section used for POSet.
poset_temporal_design,shock_snapshot_identifier,Identifies the shock-specific baseline cross-section used for POSet.
shock_id,shock_snapshot_identifier,Identifies the shock-specific baseline cross-section used for POSet.
shock_label,shock_snapshot_identifier,Identifies the shock-specific baseline cross-section used for POSet.
complete_case_final5_raw,snapshot_supporting_variable,Structural snapshot support field.
complete_case_final5_scores,snapshot_supporting_variable,Structural snapshot support field.
final5_raw_variables_available,snapshot_supporting_variable,Structural snapshot support field.
final5_score_variables_available,snapshot_supporting_variable,Structural snapshot support field.
sufficient_window_coverage,snapshot_supporting_variable,Structural snapshot support field.
volatility_feature_role,snapshot_supporting_variable,Structural snapshot support field.
window_end,snapshot_supporting_variable,Structural snapshot support field.
window_start,snapshot_supporting_variable,Structural snapshot support field.
years_available,snapshot_supporting_variable,Structural snapshot support field.
gdp_growth,supporting_or_validation_variable,Master panel variable.
inflation_cpi,supporting_or_validation_variable,Master panel variable.
productivity_gdp_per_hour,supporting_or_validation_variable,Master panel variable.
public_debt_gdp_eurostat,supporting_or_validation_variable,Master panel variable.
public_debt_gdp_worldbank,supporting_or_validation_variable,Master panel variable.
Year,time_identifier,Calendar year.
Recovery_2007,validation_outcome,"GDP recovery outcome. Used only for validation, not for ordering."
Recovery_2007_status,validation_outcome,"GDP recovery outcome. Used only for validation, not for ordering."
Recovery_2019,validation_outcome,"GDP recovery outcome. Used only for validation, not for ordering."
Recovery_2019_status,validation_outcome,"GDP recovery outcome. Used only for validation, not for ordering."
