file_name,title,description,rows,columns,processed_path,diagnostics_path,table_path,created_at
master_country_year_panel.csv,Master country-year panel,"Wide country-year panel with standardized raw variables, recovery outcomes, and contextual WGI fields where available.",3499,26,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\master_country_year_panel.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\master_country_year_panel.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\master_country_year_panel.csv,2026-06-24 19:08:08
master_variable_coverage_summary.csv,Master variable coverage summary,Coverage summary for variables in the master country-year panel.,24,5,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\master_variable_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\master_variable_coverage_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\master_variable_coverage_summary.csv,2026-06-24 19:08:08
structural_snapshot_final5_2007_2019.csv,Final 5 structural snapshot 2007 and 2019,"Country-shock structural snapshot with raw variables, direction-aligned scores, recovery, WGI context, and volatility diagnostics.",313,46,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\structural_snapshot_final5_2007_2019.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\structural_snapshot_final5_2007_2019.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\structural_snapshot_final5_2007_2019.csv,2026-06-24 19:08:08
structural_snapshot_final5_complete_cases.csv,Final 5 complete-case structural snapshot,Complete-case countries for final 5 score variables in each POSet baseline cross-section.,60,46,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\structural_snapshot_final5_complete_cases.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\structural_snapshot_final5_complete_cases.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\structural_snapshot_final5_complete_cases.csv,2026-06-24 19:08:08
structural_snapshot_final5_score_parameters.csv,Final 5 score parameters,Shock-specific min/max score parameters used to direction-align the five final ordering variables.,10,10,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\structural_snapshot_final5_score_parameters.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\structural_snapshot_final5_score_parameters.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\structural_snapshot_final5_score_parameters.csv,2026-06-24 19:08:08
final5_ordering_variable_score_map.csv,Final 5 ordering variable score map,Mapping from raw variables to direction-aligned score columns.,5,6,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\final5_ordering_variable_score_map.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\final5_ordering_variable_score_map.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\final5_ordering_variable_score_map.csv,2026-06-24 19:08:08
master_structural_snapshot_coverage.csv,Master structural snapshot coverage,Coverage summary for 2007 and 2019 final 5 structural POSet snapshots.,2,7,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\master_structural_snapshot_coverage.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\master_structural_snapshot_coverage.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\master_structural_snapshot_coverage.csv,2026-06-24 19:08:08
final5_score_range_summary.csv,Final 5 score range summary,Score min/median/max by shock for complete-case countries.,2,16,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\final5_score_range_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\final5_score_range_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\final5_score_range_summary.csv,2026-06-24 19:08:08
master_problem_cases.csv,Master problem cases,Baseline snapshot cases needing review or exclusion from main POSet complete-case sample.,253,8,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\master_problem_cases.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\master_problem_cases.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\master_problem_cases.csv,2026-06-24 19:08:08
snapshot_volatility_leakage_check.csv,Snapshot volatility leakage check,Checks that diagnostic volatility windows do not include post-baseline years.,2,7,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Master_Dataset\snapshot_volatility_leakage_check.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\06_Master_Dataset_Build\snapshot_volatility_leakage_check.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Master_Dataset\snapshot_volatility_leakage_check.csv,2026-06-24 19:08:08
