file_name,title,description,rows,columns,processed_path,diagnostics_path,table_path,created_at
epsilon_margin_relations.csv,Epsilon-margin dominance relations,Country-level epsilon-margin dominance relations for each shock and epsilon value.,689,5,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\epsilon_margin_relations.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\epsilon_margin_relations.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\epsilon_margin_relations.csv,2026-06-24 19:33:25
epsilon_margin_hasse_edges.csv,Epsilon-margin Hasse edges,Direct cover relations for each country-level epsilon-margin relation.,591,6,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\epsilon_margin_hasse_edges.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\epsilon_margin_hasse_edges.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\epsilon_margin_hasse_edges.csv,2026-06-24 19:33:25
epsilon_margin_country_summary.csv,Epsilon-margin country summary,Country-level domination/frontier summaries for each epsilon-margin value.,300,8,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\epsilon_margin_country_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\epsilon_margin_country_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\epsilon_margin_country_summary.csv,2026-06-24 19:33:25
epsilon_margin_cycle_diagnostics.csv,Epsilon-margin cycle diagnostics,Reciprocal dominance/cycle diagnostics for epsilon-margin rule.,0,0,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\epsilon_margin_cycle_diagnostics.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\epsilon_margin_cycle_diagnostics.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\epsilon_margin_cycle_diagnostics.csv,2026-06-24 19:33:25
epsilon_margin_validity_diagnostics.csv,Epsilon-margin validity diagnostics,Validity checks for epsilon-margin relations as partial orders.,10,16,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\epsilon_margin_validity_diagnostics.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\epsilon_margin_validity_diagnostics.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\epsilon_margin_validity_diagnostics.csv,2026-06-24 19:33:25
epsilon_margin_run_summary.csv,Epsilon-margin run summary,Run-level summary of country-level epsilon-margin robustness.,10,11,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\epsilon_margin_run_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\epsilon_margin_run_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\epsilon_margin_run_summary.csv,2026-06-24 19:33:25
epsilon_margin_frontier_stability_summary.csv,Epsilon-margin frontier stability summary,Frontier stability compared with epsilon-margin = 0.00 baseline.,10,10,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\epsilon_margin_frontier_stability_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\epsilon_margin_frontier_stability_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\epsilon_margin_frontier_stability_summary.csv,2026-06-24 19:33:25
working_main_epsilon_margin_run_summary.csv,Working main epsilon-margin run summary,Reference epsilon-margin robustness summary. Not the main profile POSet result.,2,12,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\working_main_epsilon_margin_run_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\working_main_epsilon_margin_run_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\working_main_epsilon_margin_run_summary.csv,2026-06-24 19:33:25
working_main_epsilon_margin_frontier_stability_summary.csv,Working main epsilon-margin frontier stability summary,Frontier stability at reference epsilon-margin. Not the main profile POSet result.,2,11,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\working_main_epsilon_margin_frontier_stability_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\working_main_epsilon_margin_frontier_stability_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\working_main_epsilon_margin_frontier_stability_summary.csv,2026-06-24 19:33:25
epsilon_tolerance_vs_margin_long.csv,Epsilon tolerance vs margin long,Long-format comparison between epsilon-tolerance and epsilon-margin rules.,20,10,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Epsilon_Margin_POSet_Robustness\epsilon_tolerance_vs_margin_long.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\10_Epsilon_Margin_POSet_Robustness\epsilon_tolerance_vs_margin_long.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Epsilon_Margin_POSet_Robustness\epsilon_tolerance_vs_margin_long.csv,2026-06-24 19:33:25
