file_name,title,description,rows,columns,processed_path,diagnostics_path,table_path,created_at
sensitivity_profile_discretization_main_set.csv,Sensitivity profile discretization main set,"Sensitivity comparison of 3, 4, and 5 ordinal levels for the final 5-variable set.",6,13,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\sensitivity_profile_discretization_main_set.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\sensitivity_profile_discretization_main_set.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\sensitivity_profile_discretization_main_set.csv,2026-06-24 20:47:59
report_table_profile_sensitivity.csv,Report table profile sensitivity,Report-ready table for discretization sensitivity.,6,8,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\report_table_profile_sensitivity.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\report_table_profile_sensitivity.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\report_table_profile_sensitivity.csv,2026-06-24 20:47:59
sensitivity_variable_set_profile_summary.csv,Sensitivity variable-set profile summary,POSet quality metrics for the main five-variable set and a drop-energy sensitivity set.,4,17,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\sensitivity_variable_set_profile_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\sensitivity_variable_set_profile_summary.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\sensitivity_variable_set_profile_summary.csv,2026-06-24 20:47:59
sensitivity_epsilon_tolerance_main_set.csv,Sensitivity epsilon tolerance main set,"Epsilon-tolerance sensitivity results from Notebook 09, including validity information.",10,16,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\sensitivity_epsilon_tolerance_main_set.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\sensitivity_epsilon_tolerance_main_set.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\sensitivity_epsilon_tolerance_main_set.csv,2026-06-24 20:47:59
sensitivity_epsilon_margin_main_set.csv,Sensitivity epsilon margin main set,"Epsilon-margin robustness results from Notebook 10, including validity information.",10,17,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\sensitivity_epsilon_margin_main_set.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\sensitivity_epsilon_margin_main_set.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\sensitivity_epsilon_margin_main_set.csv,2026-06-24 20:47:59
report_table_epsilon_margin.csv,Report table epsilon margin,Report-ready epsilon-margin robustness table.,10,10,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\report_table_epsilon_margin.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\report_table_epsilon_margin.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\report_table_epsilon_margin.csv,2026-06-24 20:47:59
sensitivity_recovery_validation_main_set.csv,Sensitivity recovery validation main set,Shock-level recovery validation takeaways for the main profile POSet.,2,10,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\sensitivity_recovery_validation_main_set.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\sensitivity_recovery_validation_main_set.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\sensitivity_recovery_validation_main_set.csv,2026-06-24 20:47:59
report_table_recovery_validation.csv,Report table recovery validation,Report-ready recovery validation table.,2,7,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\report_table_recovery_validation.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\report_table_recovery_validation.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\report_table_recovery_validation.csv,2026-06-24 20:47:59
robustness_dashboard_table.csv,Robustness dashboard table,"Compact sensitivity dashboard across discretization, variable set, epsilon, and validation checks.",10,7,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\robustness_dashboard_table.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\robustness_dashboard_table.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\robustness_dashboard_table.csv,2026-06-24 20:47:59
sensitivity_synthesis.csv,Sensitivity synthesis,High-level synthesis of sensitivity findings and report-use guidance.,6,4,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Processed\Sensitivity_Analysis\sensitivity_synthesis.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Data\Diagnostics\12_Sensitivity_Analysis\sensitivity_synthesis.csv,D:\Milano Bicocca\Course Materials\1st Year\02 - Data Science Lab - 2526-1-FDS02Q003\03 Projects\Index\Notebooks\Run_24\Outputs\Tables\Sensitivity_Analysis\sensitivity_synthesis.csv,2026-06-24 20:47:59
